store_id,main_store
0,Hirosらあ麵Kitchen
1,LeMing麵食精釀餐酒館
2,Mr拉麵雲
3,Ramen初
4,TottoRamen鳥人拉麵
5,一幻拉麵
6,一本拉麵
7,一蘭拉麵
8,一風堂
9,中華そば寶來軒
10,元町家橫濱家系拉麵
11,力量拉麵
12,叢林拉麵
13,太陽蕃茄拉麵
14,奧特拉麵RamenUltra
15,富士達人日本拉麵
16,屯京拉麵
17,山嵐拉麵
18,山形心心
19,山頭火拉麵
20,東京油組總本店
21,東京豚骨釜本舖
22,樂麵屋
23,橫濱家系拉麵大和家
24,滝禾製麵所
25,神山拉麵
26,花月嵐信
27,誠屋拉麵
28,豚人ラメン
29,赤麵廠
30,重熙老麵
31,雞玉錦拉麵Nishiki
32,鷹流東京醬油拉麵蘭丸ranmaru
33,麗人博多拉麵
34,麵家三士
35,麵屋一燈
36,麵屋壹之穴ICHI
37,麵屋武藏
38,麵屋濃
39,麵屋虎徹
40,花月嵐
41,11番町豚骨拉麵
42,Due italian
43,Nani麵
44,あお実家和食処 (另一個家)
45,いけっ麵拉麵専門店i ke man ramen
46,つけ麵心心
47,ひろ麵屋
48,不二家拉麵
49,二月拉麵
50,今鶏制湯所
51,伍拉麵
52,佐原拉麵
53,信川屋博多豚骨拉麵店
54,俺之豚
55,倉麵屋拉麵
56,全粒粉濃厚豚骨拉麵拉麵壱RamenIchi
57,六丁目拉麵
58,匠麵殿拉麵專門店
59,十劍拉麵
60,千勝軒らーめん
61,半熟堂Hanjukudo Taiwan
62,双豚ラーメン
63,同拉麵
64,味の時計台
65,品麵屋拉麵
66,哈拉麵
67,嘿．傑克
68,圓拉麵
69,坂道拉麵
70,均晣溫度
71,埔里橫濱拉麵
72,墨洋拉麵
73,嬡京都拉麵
74,定置漁場三代目The Fishery
75,宜蘭鬼匠拉麵總店
76,屋臺拉麵
77,希ラーメン拉麵
78,幸花拉麵雞白湯專門店
79,彩 日式拉麵專賣店
80,御嶽海拉麵ラㄧメン
81,惠比須麵屋
82,招福製麵所拉麵
83,拾貳麵舖
84,晴拉麵
85,暴走中村
86,有囍yoshiramenよし拉麵
87,木村Kimura
88,李好拉麵大吉大利今日吃拉麵
89,松食堂
90,柑橘Shinn
91,梅之香拉麵
92,森本家拉麵
93,極清拉麵Kiyome Ramen
94,横浜家系ラーメン拉麵家
95,次元食堂
96,沐瀧家拉麵
97,泰拉風泰式拉麵
98,涼太拉麵
99,淳鳩一夫拉麵
100,淺草咖哩蛋包
101,渡山樓
102,激勵軒Chicken Power Ramen
103,濃氣屋拉麵
104,濟善老麵
105,瀧澤軒食堂拉麵屋
106,熱烈一番拉麵
107,燈來拉麵
108,燒燒一碗來
109,狸匠拉麵深夜拉麵
110,獅神拉麵
111,琉球山日式拉麵店
112,田中そば
113,男子漢拉麵食堂
114,盡心亭Heart&soul
115,目黑拉麵
116,真劍拉麵
117,研田拉麵
118,竹拉麵関東清爽系豚骨
119,籽田野菜屋
120,織田信長
121,美濃屋拉麵
122,翔大拉麵店
123,臥龍拉麵
124,荷麵亭Hasumentei
125,菜良sara日式拉麵
126,萩豆乳拉麵
127,蒔桐日式拉麵
128,藏味拉麵
129,虎記餃子
130,蝦蝦拉麵元氣屋
131,裕手串拉麵
132,裸湯拉麵
133,覺丸拉麵
134,角屋拉麵 かど乃や ラーメン
135,許諺屋
136,象子麵
137,貳水Aqua²拉麵の專賣店
138,辰拉麵
139,銀座篝
140,開漳拉麵
141,隱家拉麵
142,食8番王者拉麵
143,魂麵
144,鳥人拉麵臺灣總店TOTTO Ramen
145,鳳華拉麵らあ麵鳳華
146,鶏そば本舗 梓山azusayama
147,龍魂屋台ラーメン
148,Merlin.m
149,OSHO拉麵
150,Okaeriお帰り吃碗拉麵吧
151,一前一町拉麵
152,一心拉麵
153,一拉面
154,一支炭拉麵屋
155,一榮拉麵
156,一番星拉麵
157,一真亭拉麵
158,一騎札幌拉麵
159,三元堂拉麵專門店
160,三冬麵舖
161,三友拉麵
162,三本拉麵
163,中村製麵
164,九州豚將日本拉麵總店
165,九湯屋
166,五黑家日式拉麵
167,京之林拉麵
168,京正拉麵
169,京都柚子豚骨拉麵研究中心
170,八峰亭
171,八幡Yahata
172,初代拉麵
173,初原麵場
174,初拉麵煎餃
175,勝十蘭拉麵
176,勝拉麵
177,勝王
178,北一家食事処
179,北極星拉麵HOKKYOKUSEI
180,博風豚骨
181,原味優品拉麵苗栗總店日本博多豚骨
182,原山拉麵
183,吉天元拉麵店
184,吉胤家橫浜家系拉麵
185,吉鴙拉麵吉鴙拉麵
186,大井屋
187,大山拉麵
188,大石家拉麵
189,大角拉麵ダージャオ拉麵
190,大麦小麦日式酒食
191,太子豚骨拉麵
192,宮內屋豚骨拉麵
193,宮本九州天然豚骨拉麵専門店
194,小判拉麵專門店
195,小卷拉麵屋
196,小川拉麵専門店臺灣分店
197,小郜家雞白湯拉麵
198,小高拉麵
199,山下公園拉麵
200,山崎拉麵
201,山越拉麵總店
202,嵐沺拉麵
203,嵐田拉麵
204,川又屋日式拉麵
205,川澤拉麵
206,川田屋日式豚骨專賣店
207,東江風風風亭拉麵
208,樂山窄巷拉麵
209,海拉麵
210,海貓亭拉麵うみねこ亭
211,無二亭拉麵
212,無常拉麵
213,無招牌日式雞白湯拉麵
214,無敵豚骨拉麵濃氣屋
215,熊二拉麵
216,熊越岳
217,玄一拉麵GENICHI RAMEN
218,玄拉麵
219,百八龍拉麵
220,百壽爺日式拉麵專門店
221,神樂岡旭川拉麵
222,神虎拉麵kamitora
223,誠拉麵
224,豚戈屋臺拉麵
225,赤坂拉麵
226,赤野拉麵
227,金屋拉麵
228,金晴川拉麵
229,金沢拉麵
230,鐵丸十三堂
231,鐵家族Fukurou360烘焙
232,雞吉君拉麵とりよしくん拉麵雞白湯專門店
233,餃子太陽
234,餃麵
235,麵や黒平
236,麵五三屋臺拉麵
237,麵吉祥豐拉麵
238,麵場小船
239,麵心無界
240,麵本初純水魚貝拉麵
241,麵處小林
242,麵試十一次
243,麵魂家
244,黑曜麵屋
245,黑潮拉麵炸串專賣店
246,Kido拉麵
247,Kitaho北穗製麵所
248,Mr. RAMEN豚骨拉麵店
249,Mr. 麵王
250,創作拉麵悠然
251,創作麵坊 鮭の大助
252,升龍拉麵
253,升龍軒拉麵
254,博多一風堂拉麵
255,博多幸龍總本店
256,博多拉麵
257,富士山55沾麵二號店
258,富山天滿
259,富山黑拉麵桃機
260,らーめん七面鳥
261,拉麵公子
262,ラーメン凪Ramen Nagi
263,拉麵匠心食堂
264,拉麵小店らー麵華美麵屋聚
265,拉麵山田
266,拉麵廣田
267,拉麵拉麵專門店
268,拉麵酒場博多豚箱butabako
269,麵柒八
270,東京家系衛門府豚骨拉麵專門店
271,東京醬油拉麵超極丸
272,橫濱屋初代村田
273,火曜三番目
274,火曜二代目拉麵
275,豚骨家
276,豚骨醬油拉麵初
277,道樂商店
278,道樂屋臺
279,道樂拉麵專門店
280,雞二二店
281,雞二拉麵本店
282,鷹流拉麵臺湾本店
283,麵家勝八
284,麵家宇味
285,麵屋Luna
286,麵屋hiro
287,麵屋かとむら
288,麵屋偶拉麵本也
289,麵屋六花
290,麵屋北辰めん処北辰
291,麵屋十八甲
292,麵屋千雲Chikumo
293,麵屋山茶SanCha
294,麵屋川去MENYA Kawasari
295,麵屋昕家
296,麵屋柴 雞白湯拉麵專賣店
297,麵屋浩Hiroshi
298,麵屋牛一
299,麵屋田宗拉麵
300,麵屋百味
301,麵屋祥東京醬油拉麵
302,麵屋秀
303,麵屋絆臺灣一號店
304,麵屋緣enishi京都餘香
305,麵屋趣
306,麵屋輝
307,麵屋道樂
308,麵屋零
309,麵屋青鈴
310,麵屋高
311,五之神水產
312,五之神製作所臺灣
313,北海道岩見沢拉麵
314,北海道札幌拉麵羽畠食堂
315,麵屋一人
316,麵屋一擊
317,麵屋一番
318,麵屋一虎ICHI TORA
319,麵屋一鮫
320,麵屋三郎
321,麵屋三金
322,麵屋壹慶
323,麵屋秋匠
324,麵屋秋鳴
325,麵屋豚介拉麵專門店
326,麵屋豚彩
327,鷹流東京涼麵 油そば本舗涼風庵RyofuhAn
328,鷹流東京蝦拉麵 小桜koharu
329,鷹流東京豚骨拉麵 極匠gokujoh
330,Mr拉麵絆
331,Mr拉麵之野崎家
332,RamenIzakaya空海拉麵
333,一幻拉麵x胡同居酒屋
334,中華そば太郎拉麵
335,東京豚骨拉麵之野崎家
336,吾妻拉麵
337,橫濱家系拉麵特濃屋
338,辣麻味噌拉麵鬼金棒
339,黑田屋
340,沖繩拉麵 本也
341,烹星
342,白露拉麵
343,竹野家拉麵
344,雙豚拉麵
345,山禾堂拉麵
346,長生塩人
347,麵匠川上
348,MENmonster
349,神樂軒
350,麵屋霖
351,貍匠拉麵深夜食堂
352,誘屋拉麵
353,丸宗拉麵
354,麵家壹霖丸
355,麵処田治
356,雲鶴拉麵
357,讓麵煮一會
358,新撰組中科所
359,23私房拉麵Ramen
360,山友拉麵
361,寫樂拉麵 勝利路店
362,夏川拉麵
363,五黒家拉麵
364,中華拉麵王
365,suekko末っ子食堂
366,うし手打拉麵臺式